A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	1	#	#	1	#	0	0.03137530056089729	0.500400320256205	2	164.0271528705984	4986	0	0.3333333333333333	11057.612790230025	625	1249
1	#	#	0	0	1	1	0.03125	0.5	1	162.90693548401651	4993	1	0.6666666666666666	2629.529698961938	158	316
#	0	#	1	#	#	0	0.03112529944089472	0.49960031974420466	2	175.1064645974728	4974	2	0.3333333333333333	11227.565488663304	625	1251
#	#	1	0	0	#	0	0.09582607506290511	0.6256	3	156.25803447287603	4997	5	0.5	7760.231929638049	391	625
1	0	#	#	#	#	0	0.03125	0.5	2	168.8518404299044	4997	6	0.3333333333333333	10276.470002704269	625	1250
1	#	#	#	#	1	1	0.23762151614310076	0.7502001601281025	13	171.97325464222803	4993	7	0.3333333333333333	58776.674970179425	937	1249
#	#	1	#	1	0	1	0.095367431640625	0.625	1	185.57695113112123	4902	8	0.5	185.57695113112123	390	624
#	#	#	1	1	0	1	0.095674473986678	0.6254019292604501	3	182.41668397854852	4946	10	0.5	9073.70212281945	389	622
#	#	#	0	0	#	0	0.23698768956572133	0.7497995188452286	8	170.11560203461448	4997	16	0.3333333333333333	23864.44675771384	935	1247
0	1	#	#	#	#	1	0.031629550203641464	0.5012087026591459	1	156.6829169517662	4983	27	0.3333333333333333	2619.402074227844	622	1241
0	#	1	#	#	0	1	0.23794226017771394	0.750402576489533	5	180.48931511163508	4956	28	0.5	10027.518177715861	466	621
#	0	1	1	#	#	1	0.23667052247664122	0.7495987158908507	7	188.4787026728389	4995	31	0.5	20044.20663149755	467	623
#	#	1	#	#	0	0	0.03137590636381696	0.500402252614642	1	168.69547627707533	4972	32	0.3333333333333333	2843.025083231862	622	1243
0	#	0	#	1	#	0	0.23666642889327236	0.7495961227786753	7	160.79375015629117	4964	36	0.5	17603.62552873549	464	619
#	#	#	1	0	0	0	0.09521395978374295	0.6247987117552335	1	134.25447449007942	4925	43	0.5	134.25447449007942	388	621
#	#	#	#	#	0	0	0.09571585494577471	0.6254560194568302	4	162.4860624726464	4982	59	0.16666666666666666	14362.35804411135	1543	2467
1	#	#	0	#	1	1	0.23412711304059003	0.7479806138933764	7	167.4139282119449	4993	65	0.5	17950.2720716256	463	619
1	#	0	#	0	1	1	0.030254859120342058	0.4967741935483871	1	164.49108491730274	4993	65	0.6666666666666666	2749.2397362934653	154	310
#	#	0	#	1	#	0	0.03112307084211277	0.49959316517493896	3	162.71918961164914	4982	77	0.3333333333333333	24881.26035720669	614	1229
#	#	#	1	#	0	0	0.03125	0.5	1	149.65875851049228	4947	89	0.3333333333333333	2532.361203691651	612	1224
#	0	0	0	1	#	1	0.03125	0.5	1	165.12707842223656	4770	98	0.6666666666666666	2794.0991308310513	153	306
#	#	1	0	1	0	1	0.03074105323395207	0.49836065573770494	1	172.0621096902396	4145	113	0.6666666666666666	2959.647818034663	152	305
#	0	#	#	#	#	0	0.031506988746882916	0.5008196721311475	1	176.72625130072888	4997	117	0.16666666666666666	2754.6365540745837	1222	2440
#	1	#	#	1	0	0	0.23795483693889433	0.7504105090311987	4	172.8323041275274	4982	118	0.5	691.3292165101096	457	609
#	#	1	0	0	#	1	0.007477058518513931	0.3756177924217463	1	156.25803447287603	4956	145	0.5	11050.581002821145	228	607
#	0	1	#	0	0	1	0.030228846862298545	0.4966887417218543	1	157.63022188129554	4956	156	0.6666666666666666	2757.3471120850095	150	302
1	#	0	#	#	1	1	0.23469696901276463	0.7483443708609272	7	169.73878737562652	4993	175	0.5	18221.26866424533	452	604
1	#	#	#	0	1	1	0.03073771602291326	0.49834983498349833	1	156.3838747414835	4993	175	0.5	2554.606799524753	302	606
#	#	#	0	1	#	1	0.030991309371110744	0.49916943521594687	1	164.1559348958339	4976	177	0.3333333333333333	2800.8522415688526	601	1204
#	1	#	0	1	#	0	0.23796350077423983	0.7504159733777038	6	167.20562970242685	4986	186	0.5	13375.7019245834	451	601
0	1	#	#	1	#	0	0.03151084997106722	0.5008319467554077	2	163.01557621248745	4986	186	0.5	10942.146162167071	301	601
#	0	1	#	#	#	1	0.2366473341991022	0.7495840266222962	14	179.26760146349605	4995	195	0.3333333333333333	75031.35086853869	901	1202
0	0	#	1	1	#	1	0.03125	0.5	2	191.55115810022005	4995	195	0.6666666666666666	12964.873586364683	150	300
#	0	#	0	0	#	0	0.2373046875	0.75	4	176.29744745383329	4997	198	0.5	698.4872372691664	450	600
#	#	1	#	#	0	1	0.031119900264033492	0.49958298582151794	1	168.69547627707533	4956	200	0.3333333333333333	2866.413068314383	599	1199
