A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-5.60386874943075;-3.5619935457292504	#	#	0.464741878640315;1.023266102307685	-7.3679213230572005;-4.4392269886428	#	#	#	-8.0261062714035;-4.4632483998965	0.40871049828287503;0.979419703841125	#	#	#	0.13799484825646013;1.31771861474754	#	#	#	0.23483357187608;1.2809296265679202	-8.0707168894534;-5.5950469114066	0.3887288148272;1.1892105529928	-8.1449793720756;-5.8874731560844005	0.058042225993750085;1.46704508400025	-8.8031660591133;-5.3250899774667	#	-8.6179093019204;-5.4167588791796	0.07485870468580491;1.3143122716201951	-8.2002387127302;-5.8970496107498	0.33366125647322;0.95775241912078	-8.9577038329219;-4.7503445717381	0.038911514240695055;1.0989407109653049	-9.348781857213751;-4.29670652870625	#	-7.3253974384575;-5.642685685402499	0.24475034252590996;0.67730185277209	-8.2448337094646;-3.9786721321954	#	-7.7385623533692005;-5.793197363610799	#	-9.387865009051001;-4.723772790589	0.15044243352774994;0.70132146641425	#	#	-9.3646446815128;-5.873393613727201	#	-9.321108663396199;-5.9620753286638	#	#	0.04338012815782;0.76281236155618	-8.758994974939;-5.8558455241209995	-0.3298253955947601;1.04726322940876	-9.3880981256358;-5.419089625584201	#	-8.51368591689025;-6.33208715308975	0.010024581001039923;0.93926854359296	#	-0.03506284045491498;0.943319460580915	#	-0.16851715517416999;1.10471004926417	#	0.14422245343137396;0.740679328268626	-10.3157600708092;-7.8164259382108	-0.019916577750674402;0.8579215853586744	#	#	-9.99997831951875;-8.698237341781251	-0.39876486744102496;1.041663843891025	#	-0.08753096118975356;0.6790774729537535	#	#	#	-0.12134604942094948;0.5040088111689495	#	-0.46273869913573956;0.7942334853577395	#	#	-10.992149067401801;-8.562189990478199	-0.4561319837296801;0.7578055490816801	#	-0.343383624128885;0.695720176606885	home	0.05843032921810699	0.5666666666666667	1	49.78627357027475	4893	5	0.575	49.78627357027475	17	30
-7.5348970489317;-2.9066465872083	0.047852120859411984;0.637326662452588	#	-2.671892015498889e-05;0.519978592770155	#	#	-8.2650264786197;-3.9912206572403006	-0.16346720800844988;0.90387477996445	#	-0.003003500586499952;0.7579421068245	-9.00453638893175;-5.72111697736825	#	#	#	-9.540013809934;-5.396326978286	#	-8.9014287791779;-6.9745324928020995	-0.11868379733331996;1.02427300316332	#	-0.14202215665297502;1.042023747716975	-10.1702924673338;-6.3856496934662	0.09540621204147004;0.90323451729853	#	0.0580751032556;0.8890141576124	#	#	#	0.17022668109353;0.77789439209247	-10.608752485084949;-7.1478601895950495	#	-10.2053978051119;-7.645679638668099	-0.035482617377680103;0.8454032669076801	#	-0.10668660955697001;0.8582359902229699	#	0.059078234944304975;0.639006563877695	#	-0.4208852321685201;1.02800301400452	-10.438830942165;-8.072987063234999	#	#	#	-11.224429395026199;-8.1695847107138	0.10163893795243001;0.61624883933957	#	#	-11.195007165487599;-8.1764484670124	#	#	-0.08909692912528;0.81461748103328	#	#	#	0.06643134151479996;0.5826779873992001	-12.2206513483832;-8.0503266938168	#	-12.48962637372495;-8.09206220047505	-0.10419799396001;0.5845970510640099	#	#	#	-0.16636416846887342;0.4256662206048734	-12.172274406963199;-8.7201171050368	-0.18727851872257253;0.43637831130657256	-12.3104882622325;-8.665613524567501	-0.29578682577397397;0.510853252571974	-11.962739615003;-9.207697228197	-0.409185830307129;0.600493570759929	#	#	#	-0.542534510116699;0.708175211063099	#	#	-11.63768662565525;-9.76742685454475	-0.5398722154408061;0.683099853002406	#	#	-11.9115108708477;-10.2460346595523	-0.36270720330683504;0.511459486201035	office	0.02452974362321501	0.4763636363636364	1	88.04196779856053	4972	9	0.525	88.04196779856053	131	275
-5.942707357966175;-2.743769538833825	#	-7.12351475559338;-2.3057035724666197	-0.3308763899353449;1.075063897227345	-6.47954644516615;-3.97795336785385	-0.018376724362680064;0.87793878307068	-6.879508712999;-5.021332268921	-0.08471487071304995;0.77265820159305	#	-0.12566221727774995;0.94657932043775	-7.935130902054;-5.547189511826	#	#	#	#	0.14824085745116;0.70008727037884	-9.2436919424515;-4.924786472988499	0.20663958455876003;0.9427812526752399	-7.9525874029995;-5.889529087960501	0.45812752606499996;1.125195641203	#	#	-8.3808935099345;-5.4278100443855	0.5081464828247999;1.1544324139912001	-9.091271976165899;-5.2232152153541005	-0.28513206658070506;1.065317342168705	-9.440189029349801;-4.969292537270199	#	-8.97851945404985;-5.38190589207015	#	-9.21793992168295;-5.24364066325705	#	#	#	#	0.1521251362256199;0.87203616524638	#	-0.08977270188530007;1.4017299044693001	-8.916449885627;-5.333886297533	0.1991036734737699;1.3228969005622302	-8.8690762742566;-5.474998824543399	-0.03333549001532998;1.56350470755733	-8.7890443238876;-5.547168332372401	0.44616043257553;1.35662410426047	#	#	-7.8603378233868;-6.0229542677931995	0.55557116446776;1.51481414233224	#	0.79866761241764;1.42266089562236	#	#	#	0.88728708970618;1.62724061547382	#	#	#	#	#	0.797708442524934;1.755654332415066	#	0.8657127857756695;1.4169134928443305	-9.5892404880411;-7.0540624694389	#	-9.1114608598335;-7.7576502429865	#	-10.163830061279501;-7.4562884052805005	#	-10.547946085105501;-7.4547935636745	0.6308593078168221;1.4625000815431781	#	#	#	#	#	#	-10.2506500490378;-9.2500786644222	0.336298593362696;1.134028972067304	-11.5119969517764;-9.2007238422236	#	home	1.0	1.0	1	4.2	4955	15	0.5375	4.2	5	5
-5.803603867386325;-2.1962910075136746	-0.06523938844660798;0.739896570802608	#	#	#	-0.21210635222103996;0.81699663779504	-7.463945045351999;-4.986376453248	#	#	0.08603619833062501;0.552980093787375	-8.4065050920853;-4.9439900762547	-0.056500516929660016;0.7175606040476601	-8.03029091937075;-5.6824898874892495	#	#	#	-8.9014624303713;-4.7154463599687	#	#	#	#	#	#	-0.28252142237968;0.8069320044436801	-9.21458253683785;-4.746310071762149	#	#	#	-8.33606562186595;-6.23238599127405	#	-9.9302296527737;-4.9455153286463	#	-9.055841317288401;-6.0942686319116	#	-9.670024591003;-5.823485463957	-0.23974923751593008;0.6801370773439301	#	#	#	-0.26849159260758004;0.7451258279035801	#	-0.33251260481334005;0.8487116509253401	-10.5245313500336;-6.035779977166401	#	-10.000848784096199;-6.6418154493638	-0.005039125198575023;0.6045570178765751	-10.8003106303744;-5.944368376305599	-0.2511256329452801;0.8679911745632801	#	-0.05439198826140007;0.6987033535374001	#	#	-8.676709309106;-6.5612195987540005	#	-8.2522649268188;-6.5580705359012	0.31924580852342505;1.047828373124575	-10.0201526179687;-7.171026533891299	#	-11.1688232602326;-8.1862407562074	-0.031055546803304024;0.547326877281304	-10.8006475026449;-9.1864942086751	-0.34530022116128983;0.8795902389912897	#	-0.018406896436975018;0.548553858134975	-11.204976754971;-9.330469747029	-0.28523273753953804;0.7518759346195381	#	#	-11.99098756027055;-9.030398718329451	-0.41415615492376945;0.7388003722877695	#	-0.19751195424066298;0.5983942319646629	#	#	#	-0.5145338172547765;0.6904533678289765	-11.27951999657705;-10.100275150422949	#	#	-0.14284341977076004;0.31898049166736003	residential_area	0.04412311230067828	0.5357142857142857	1	94.00103843252452	4698	18	0.5125	94.00103843252452	15	28
#	#	#	-0.22606085720143;0.96802541408743	-3.62397346008435;-1.8545539663756503	#	-4.0678424568042;-1.9619091535158	-0.008018533974950004;0.88434935760895	#	-0.03958654092799996;0.790535939884	#	-0.22870129910525006;1.03335487640125	-5.54397010496725;-2.11256859683275	0.31086549636857;0.86267177424343	#	-0.02218549696965011;1.1849785313096501	-5.397542840698501;-3.0719783571415	0.04026263304444;0.95075364360956	-6.2828736707351;-2.5693687036648996	#	#	#	#	0.04660618463247995;0.9883371129035201	-6.779241008260099;-2.6444217122199	#	-6.8864133036177;-2.8897028031223	#	#	#	#	#	-7.1809227470305;-3.478956890309499	0.2590981316376099;1.02438157284239	#	0.06530502792760995;1.22516168579439	-6.648539676486201;-4.3557880814138	0.18495921883872002;1.29293258355928	-7.43528224812;-4.05550527822	#	#	#	#	0.05846220488796494;1.3054015813260351	-8.0733969670145;-3.5516213241055	0.41221617420993995;0.89989308867006	#	0.39781993527908494;1.057299482560915	-6.7608708500354;-5.018981179544601	0.28774256344423993;1.12690594430576	-7.9170537697924;-4.1432424090876	-0.0159777818593001;1.4295158382133002	-7.66825738290275;-4.825568084617251	0.3127437257140399;1.24198768830596	#	-0.004195247406039937;1.4946031712020398	#	0.34734294747314;1.14050087810686	#	0.509099405226764;1.195928533827236	-7.9688457130465;-6.1464145746935	0.591048695756683;1.366812653853317	-8.513957110827599;-5.7090793030124	#	#	0.459896432321479;1.285742226818521	-8.388210631778;-7.058190169182	0.543531556502022;1.067069023721978	-8.581003303247849;-7.299554401512149	#	-8.629330999917599;-7.398210018662399	0.2654756971132266;1.1940329143527735	#	#	-9.57837230419285;-7.375621907107149	0.032986216086041464;1.1660338677319586	#	#	-9.492868316994699;-8.1672852100453	0.11494863004190492;1.121065008532095	bus	0.06092699470458736	0.5714285714285714	1	32.498187953667355	4704	24	0.5875	32.498187953667355	16	28
-5.59879649129185;-0.5621709888281501	#	-5.73204195075346;-1.95591967208654	0.08915070258589497;1.1869396939321049	-5.17229371771525;-3.0367874322047497	0.24667578669584;1.04340068219216	-5.4734030100616;-3.4913481363783996	0.21737412872234996;1.2147264781396498	#	0.35772069980975;1.22243161732225	-6.3732283746039;-3.1495074977961	#	#	#	-7.0125946324;-2.23141751896	0.44961800846919997;1.1394260246288002	#	0.09666635257048006;1.53020539048152	-6.311913106317699;-2.3233336972423	0.3294607543184749;1.480153252931525	#	#	-5.6992105255728;-2.5492548289872	0.3205507346074799;1.26228166287852	#	#	-5.6876447673617;-3.045751385678299	0.31833490135418996;1.15593093543381	-5.72427109989575;-3.3491489363242497	#	#	0.3867018414219999;1.202336919464	-6.129961646354;-3.4376228414659993	#	-7.141593650619;-2.5956837732010003	#	-6.388616078320201;-3.4010912726198	#	#	0.5669088448162899;1.1618582003337101	-7.047970069473401;-4.156718908606599	#	#	#	-7.19057372367595;-4.8004923124240495	#	-6.885353986161199;-5.1135912718388	#	#	0.49565712651664007;1.6575756538633601	#	0.7606347841400298;1.44208177645997	#	#	-8.5364562961532;-4.366131641586801	#	-7.7143939397097;-6.1040183269703	#	-8.4626623237732;-6.9161380624268	#	#	#	-10.558134965071499;-7.591437283728499	0.7271038092733749;1.6720384002266249	#	0.803893854080462;1.8410025262395382	-10.949162036538999;-7.434107956820999	1.070718666740022;1.5942561339599781	-11.238427152963851;-8.18946252469615	0.5214659619718345;1.8256299025881655	#	#	-11.4647095090175;-8.608343820782501	0.6812582851988155;1.3754071035011846	#	#	#	0.506559123779576;1.390999326256424	#	0.38207468752983;1.14078539917817	city_center	0.007415771484375	0.375	1	8.716800000000001	4709	29	0.5375	8.716800000000001	3	8
#	0.286358042980828;0.703303450449172	#	#	-4.43374894432435;-2.66432945061565	#	-4.5392874429477;-2.7430502136723005	-0.13715471128739992;1.1226587827134	-5.599900124115;-1.9141850846250001	#	#	#	#	0.21464367979079002;1.41339524896721	#	0.369630718853265;1.283626340264735	#	0.48318728690456;1.02560746341144	-5.5864125647669;-3.7984286917330996	#	#	0.07232345002317009;1.4437528984828298	#	#	#	#	-6.2875072815644;-3.0359461964155994	#	#	0.21602240016696006;1.29287745715704	-6.3687597254822;-3.4048755327578	#	#	#	-6.9187938852586;-3.3520030583614004	0.3010448896370699;1.22093120449693	#	#	-6.475051730979;-4.379590009641	0.32426355192017997;1.07345903664582	-7.9564566600059;-3.4938733464941	-0.09174789505986003;1.35197063973186	#	#	-7.07222933855465;-6.361230169817265	#	#	0.47536460505912503;0.974970322696875	-7.7375591454422;-3.8021787787778005	0.35839085006264;0.98238413326736	#	0.38505946711057;0.94260700628143	#	0.33441482659673993;1.17761768154126	#	#	#	0.49129676801681;1.0548563503091901	-8.361725744976699;-5.9867063436232995	0.292430023663222;1.178078110542778	-8.6058585347155;-6.2627327854045	#	#	#	#	#	#	0.20119747546983047;1.2669701765961696	#	0.42143198448241853;1.1207662714795814	-10.211302334925701;-7.089531275314301	0.40438123125284453;1.1055366810051555	-9.7112723182825;-8.1338763411975	0.004729678948149463;1.3742665366798505	-10.651925360454952;-7.701071054925051	0.3135544745071969;0.925040508728803	-10.83314398176335;-8.295980827916651	0.353107712216728;0.838682725341272	#	#	train	1.6935087808430282e-05	0.1111111111111111	1	70.93586416648193	4304	31	0.4875	70.93586416648193	2	18
-7.5348970489317;-2.9066465872083	0.047852120859411984;0.637326662452588	#	-2.671892015498889e-05;0.519978592770155	#	#	-8.2650264786197;-3.9912206572403006	-0.16346720800844988;0.90387477996445	#	-0.003003500586499952;0.7579421068245	-9.00453638893175;-5.72111697736825	#	#	#	-9.540013809934;-5.396326978286	#	-8.9014287791779;-6.9745324928020995	-0.11868379733331996;1.02427300316332	-9.577681370424699;-6.9644741713753	-0.14202215665297502;1.042023747716975	-10.1702924673338;-6.3856496934662	0.09540621204147004;0.90323451729853	#	0.0580751032556;0.8890141576124	#	#	#	0.17022668109353;0.77789439209247	-10.608752485084949;-7.1478601895950495	#	-10.2053978051119;-7.645679638668099	-0.035482617377680103;0.8454032669076801	#	-0.10668660955697001;0.8582359902229699	#	0.059078234944304975;0.639006563877695	#	-0.4208852321685201;1.02800301400452	-10.438830942165;-8.072987063234999	#	#	#	-11.224429395026199;-8.1695847107138	0.10163893795243001;0.61624883933957	#	#	-11.195007165487599;-8.1764484670124	#	#	-0.08909692912528;0.81461748103328	#	#	#	0.06643134151479996;0.5826779873992001	-12.2206513483832;-8.0503266938168	#	-12.48962637372495;-8.09206220047505	-0.10419799396001;0.5845970510640099	#	#	#	-0.16636416846887342;0.4256662206048734	-12.172274406963199;-8.7201171050368	-0.18727851872257253;0.43637831130657256	-12.3104882622325;-8.665613524567501	-0.29578682577397397;0.510853252571974	-11.962739615003;-9.207697228197	-0.409185830307129;0.600493570759929	#	#	#	-0.542534510116699;0.708175211063099	#	#	-11.63768662565525;-9.76742685454475	-0.5398722154408061;0.683099853002406	#	#	-11.9115108708477;-10.2460346595523	#	office	0.026825039388926483	0.4849624060150376	1	88.05027536625114	4972	34	0.525	88.05027536625114	129	266
-7.5348970489317;-2.9066465872083	0.047852120859411984;0.637326662452588	#	-2.671892015498889e-05;0.519978592770155	#	#	-8.2650264786197;-3.9912206572403006	-0.16346720800844988;0.90387477996445	#	-0.003003500586499952;0.7579421068245	-9.00453638893175;-5.72111697736825	#	#	#	-9.540013809934;-5.396326978286	#	-8.9014287791779;-6.9745324928020995	-0.11868379733331996;1.02427300316332	#	-0.14202215665297502;1.042023747716975	-10.1702924673338;-6.3856496934662	0.09540621204147004;0.90323451729853	#	0.0580751032556;0.1705278444094882	#	-0.004568059446795031;0.494913228720795	#	0.77789439209247;0.8494573543734264	-10.608752485084949;-7.1478601895950495	#	-10.2053978051119;-7.645679638668099	-0.035482617377680103;0.8454032669076801	#	-0.10668660955697001;0.8582359902229699	#	0.059078234944304975;0.639006563877695	#	-0.4208852321685201;1.02800301400452	-10.438830942165;-8.072987063234999	#	#	#	-11.224429395026199;-8.1695847107138	0.10163893795243001;0.61624883933957	#	-0.3910771400460849;0.880366244082085	-11.195007165487599;-8.1764484670124	#	#	-0.08909692912528;0.81461748103328	#	#	#	0.06643134151479996;0.5826779873992001	-12.2206513483832;-8.0503266938168	#	-12.48962637372495;-8.09206220047505	-0.10419799396001;0.5845970510640099	#	#	#	-0.16636416846887342;0.4256662206048734	-12.172274406963199;-8.7201171050368	-0.18727851872257253;0.43637831130657256	-12.3104882622325;-8.665613524567501	-0.29578682577397397;0.510853252571974	-11.962739615003;-9.207697228197	-0.409185830307129;0.600493570759929	#	#	#	-0.542534510116699;0.708175211063099	#	#	-11.63768662565525;-9.76742685454475	-0.5398722154408061;0.683099853002406	-11.63868118604635;-9.81621187835365	#	-11.9115108708477;-10.2460346595523	-0.36270720330683504;0.511459486201035	office	0.00041152263374485585	0.3333333333333333	1	2.68	34	34	0.5625	2.68	0	0
-4.191368645796875;0.913319363456875	#	#	#	#	#	#	0.06306740878869999;1.0079275292893	-5.56629368381525;-1.45057855638475	0.20912763228887501;0.641483091045125	-4.32760895896625;-2.8351455900737497	-0.16255242517328006;0.9817118406192801	#	#	#	-0.08490169480375498;0.760113124991755	-5.8900852339952;-2.434960858424799	#	#	#	#	#	-5.1732602271547;-3.4014101478253	#	-5.8253550831591;-3.0243484632609006	-0.24757137191985507;0.9178849671378551	#	0.0604868962747;0.5531904457332999	-6.0273162662830995;-3.4486122029769	#	#	#	#	#	#	-0.27524830859212013;1.00459352077812	#	-0.10298477751745011;1.06891012747545	#	#	#	#	-6.931115765521801;-3.1281458523982004	-0.09794797032593006;1.36671097977593	#	#	#	#	#	#	-7.4387902882114005;-3.3396503619286	#	#	0.75319060605976;1.20060436582624	-7.6738473712876;-4.2854585894524	#	-8.70884012561875;-4.06352585810125	0.7237771268008999;1.3499544404591	#	0.4266424483753919;1.583407296544608	-8.931194510053;-5.286332233347	0.28444715908326657;1.6930711882587333	#	#	-8.899200463967;-6.191579230273	#	#	0.642035889582022;1.165573356801978	#	0.38912767254982705;1.409777713032173	-9.436279775038301;-7.281818057841701	#	-9.4520841543075;-7.789423529812499	0.3266499964813715;1.4710575077366284	#	0.17334962253574648;1.4862461077762534	-9.722061668337801;-8.7214902837222	0.31611463774457593;1.200554840221424	-9.6827930775417;-8.697103074938301	0.245138259830175;0.8224181491278251	metro_station	1.0	1.0	1	26.609599999999997	4724	44	0.45	26.609599999999997	8	8
