A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-6.423875394146075;-3.497187602173925	0.3954801789823721;1.416277555887628	#	#	-6.6416620569151;-4.5671702367049	1.02362428790042;1.8369476187195801	-6.5750892472864;-4.8407912328136	1.0528096510984999;2.2776283258215	#	1.123264784122;2.2300947585379998	#	#	#	#	#	1.175822503986235;1.986346922973765	#	1.22135050296168;2.36430730345832	-8.59296470612095;-4.2605422445390495	#	#	#	#	#	#	#	#	#	-9.1058847075117;-5.873286324745394	0.8239138376988051;1.446470667521195	#	0.6446159766389798;1.15030972502502	#	0.5464642838783099;1.6444796560416899	#	#	#	0.9476883254036199;1.84258988921638	-8.479420458098717;-8.352861241193999	#	#	0.73540886413577;2.11350382916423	#	#	-8.4484323429531;-6.7689156755869	#	-9.6360773465496;-5.3051018226504	0.4761424392709249;1.7751173051290752	#	#	#	0.8710888828873;1.4905861486327	-10.10875367996775;-5.94388331271225	#	#	0.84149059184775;1.8823228269922498	-9.96370095199215;-7.05263734434785	#	#	0.698743867822748;1.8916576174972521	-10.1581062568608;-7.4504942798792	1.066409631464054;1.9646626355759458	-11.1113720643675;-7.0658752261724995	0.9247424472910375;1.7751835791489625	#	1.137993227457026;1.944633305802974	#	#	#	#	-10.5417925853214;-8.6951111134386	#	#	0.7675837223393345;1.9495127913406656	#	0.6962430169583939;1.9192150854016061	#	#	-11.0994792708612;-9.6039496117388	0.7483542744646698;1.63901467509533	forest_path	0.1	1.0	1	1.0	20470	20470	0.4375	1.0	0	0
-2.6850677178861755;0.513870101246175	0.03678388753188405;0.568748717750116	-3.3878022691648004;-0.7835800080152	-0.09593584556784002;0.98259368978984	-4.21198385764675;-1.46633291913325	#	#	0.08138745331539998;1.2712113087606	-4.5400440042925;-2.6971864845475	#	#	0.55705198025221;1.38159534824979	-5.72176168774425;-2.0495600737757504	0.7323670787838299;1.70278501573617	-6.2135148345372;-2.5798202283228	0.41379045907228496;1.396766882099715	#	#	#	#	#	0.95539287265199;1.5377807206280099	#	0.31986698851732;1.40932041534068	-5.7595519006129505;-3.8255235202070503	#	#	0.68860706252877;1.2305809669332302	#	0.24797065670049;1.35847743422151	-10.028149378155511;-4.8201508974384	#	-7.9456939879326;-3.5033349598674	#	-7.7011666178431994;-3.3650679655368	0.46832644623878994;1.7081732184412102	#	0.7000392491705;1.7653982537094999	#	#	#	0.7690384334827599;1.7315174566772398	-7.587374816900001;-4.47018636352	0.3815935855886299;1.68791102757137	-8.73195135900385;-4.145578921196151	0.38401134750078003;1.01102452323522	-8.5458907279888;-3.7555693151912	#	#	#	#	0.27806266646824995;1.82680583083175	-7.832840651365999;-5.717350941014	0.2665559093883799;1.35067386574562	#	#	#	#	-9.2892042408837;-5.2571945595163	0.606671085991256;1.5465425251287441	#	#	#	0.454476033650855;1.701789693709145	#	0.8107515976481969;1.7518316890518029	-9.333158023541;-6.198109790279	0.8382087504514601;1.58611941790854	-9.4572606116621;-6.1873565175779	0.920800177303619;1.639035390976381	-9.2714229667853;-6.6772751848547	#	-9.599609322174999;-7.139249412472405	#	-9.5989246468477;-6.855876982552299	#	-8.80932705200625;-7.915959744313749	#	#	#	train	1.0	1.0	1	2.5	46656	27936	0.5375	2.5	4	4
#	#	#	#	#	#	-5.715953274948999;-3.857776830871	0.7180443422486;1.6279096434714	-6.8161634093865;-3.0075912019135	#	-6.87599517195175;-3.59257576038825	0.7748876972312101;1.59943106522879	#	#	#	0.70598821755818;1.32681543210182	#	0.55698603565236;1.3899884495736399	#	#	#	#	#	#	#	#	#	#	-8.3670288218017;-3.8882270276382997	#	-7.0955750507615;-5.0747449193584995	#	-7.382250700642901;-4.7572203658770995	#	-7.8218421554898;-4.8145479288902004	#	-7.771507793086;-4.992414950574	#	#	#	#	#	-8.704016079373199;-4.7140148590468	#	#	0.6722251902961349;0.8167505205062189	#	#	#	0.28818611184403997;1.7728597856759603	#	#	#	0.4979433097682;1.7025188168318002	-9.3663004170772;-6.4992022170628	0.3440458435458551;1.6138611704221448	-8.9483512925142;-6.7186004441058	0.36908361153765;1.51707535324435	-9.193173034153;-5.326862380787	0.5091964478317139;1.647886845248286	-9.2531343887456;-5.9206888786144	#	-9.9396667316754;-6.8111491768046	#	-9.88485740542075;-6.916887976179249	#	-9.458416930273;-6.703374543467	#	#	#	#	0.5524164645490205;1.5211886506133474	#	#	#	0.674655791390279;1.358081359049721	-8.8821034504509;-7.6671239119890995	0.463141142756352;1.364923309987648	#	#	metro_station	0.1	1.0	1	1.0	29176	29176	0.375	1.0	0	0
-5.977711652665825;-3.731648928594175	0.7675809101703361;1.457697446669664	#	0.51772293391998;1.82736594114002	#	0.53886149209634;1.75054727066366	-7.3727783338054;-3.7803038752546008	0.7120752049486999;1.3069871326713	-7.2281159382767495;-5.44668700252325	#	#	#	-7.19660587521175;-4.126404525828249	#	-6.8956465084852;-4.5369324658548	0.45155663369032495;1.572494659949675	#	#	-7.295655326147299;-4.4073736850927006	#	#	0.5728983251001701;1.9443277735598299	#	0.3975015191352399;1.56081619523476	#	0.2917892951275599;1.4757449411544399	-8.2485097344489;-3.9808358101910994	#	#	0.35952982558996005;1.43638488258004	-6.6450288801615;-4.6241987487584995	0.68805422999908;1.11218447058092	-7.8820492994748;-3.3050733311651994	#	-7.7281270895774;-3.601839662382601	#	#	0.3507668311799901;1.60789045653601	#	0.6900686264170199;1.2629828206189802	-7.8771962881569;-4.0431458357031	0.56475825115439;1.4616137045856101	#	#	-8.4178604643832;-3.7668912316768	#	-7.682121986701168;-3.7711560073584	#	-7.217528831678999;-4.314379380861	#	-7.163777959842;-4.561149435218	0.5423222353641299;1.43026831626587	#	0.62201077028288;1.27592318840312	-7.927196822539001;-4.343324072521	0.6062865936002051;1.251602579389795	#	0.4972416044404401;1.4991253062935601	-8.6921817158354;-5.0468030998046	0.5111948215439339;1.469140711434066	-8.8003312014998;-5.572024613560201	#	#	#	-9.186725912804;-5.854269009795999	#	#	#	-9.418138551949099;-7.0319923211308994	0.6651914627810276;1.7047424299389726	-9.8657511260591;-6.656042853500901	#	-9.699178253505;-7.738091363075	#	-9.88740541342495;-6.93655110789505	0.8730335160389264;1.4665346669010735	#	#	#	0.6763458564163349;1.121676056731665	home	1.0	1.0	1	4.537599999999999	48102	29382	0.55	4.537599999999999	8	8
#	0.6128234685255041;1.647998273274496	#	#	-6.37780393274035;-2.1678058270196496	1.31796766188344;2.44666126383656	#	#	-5.6763644569355005;-3.5877926012245	#	-6.81189167721745;-3.40907519614255	1.3285799098216;2.0016765367584	#	#	#	#	#	1.53521538635464;2.15512415950536	#	1.2489238272434;2.1828191884366	#	1.34670958125476;2.17332459128524	#	1.4641794407087199;2.18432662115128	-7.239931016585599;-2.4382053824744	#	-7.1163879608989;-2.8487140366410997	#	#	#	-6.36251051567205;-3.6007093360879496	1.09640094281312;2.14041384270688	#	#	-7.1111555535874;-2.9848681263926005	1.14715914063834;2.18703062700166	#	#	#	1.4091959173966297;2.92962204816337	#	#	#	1.32810562203198;2.04064240856802	-7.4604072475445005;-2.9386316046355003	1.1906214922234302;2.34014564773657	-7.4872120657732;-2.7625114942468	#	-6.8517693380804;-3.4970188615796	1.2866745833620798;2.10432095445792	-6.1567338587561995;-4.269828178403801	#	-7.37604922930775;-3.21117886205225	1.08441497993086;2.13411649322914	-6.7071586688654;-4.556835018854599	0.69502854849307;2.23546025650693	-8.10692101579425;-4.08098198394575	#	-7.4103654906777;-5.5876761826623	#	-7.780960917118099;-5.7502519343819	#	#	#	-7.64436389710775;-6.13434436293225	#	-9.038183730841;-5.903135497578999	1.378514441580022;1.902051908799978	-9.2390425435589;-6.3226415947811	1.0051528463254285;2.082505666834572	-9.4130506145191;-6.203342341960901	#	#	#	-9.6100686222884;-6.617652988511599	#	#	#	-10.3302047787831;-8.7327071883569	0.8556217618783849;1.4658890734216148	home	1.0	1.0	1	2.6666666666666665	47203	33163	0.5	2.6666666666666665	3	3
#	0.01345740969152398;0.832970796784476	-5.14959298500783;-1.30836514981217	0.04058679678246002;0.73392721236954	-4.7213048454454;-2.5247840946346	-0.19450269514714003;0.91759247148314	#	0.10609189932640001;0.5960193692156	#	#	#	-0.1862440014141501;0.9075380173581501	#	-0.16180789102588;1.05597148083588	#	#	#	#	-6.34080614994965;-2.14592090937035	0.11782762174334993;0.68483551961065	#	#	-6.819236837554801;-2.3567996007252	#	-6.006762448332;-3.339137096048	#	-5.9571484506999;-3.7217002046600998	#	#	#	-7.160685676423499;-2.4454153698164993	#	#	#	#	0.016098957623979948;0.8959902153160201	#	0.35909564078943956;0.96833442831255	#	0.1892461619833699;0.87233616276263	#	#	-6.0074108360026;-4.3241290711774	#	-7.207620730747751;-3.0088290623322504	0.336113156676875;0.771538973159125	#	#	-7.200854953235;-2.362272535205	-0.22699803352800008;1.3867776988980003	#	#	#	#	#	#	#	0.19104417209862;1.31816333668338	-7.6521811145609;-4.282967545199099	0.16884324045617194;1.566896148453668	-6.8554058326454;-5.5015998441546	0.541120531281597;1.398543853388403	#	0.47450395201758244;1.5895267693424175	-7.273172846151001;-5.398665838209	0.328199690046163;1.691805536773837	-7.7249233458279996;-5.444888267092001	0.5633995461096845;1.5543811804903154	-7.82336229238765;-6.01165867269235	0.7788131645338146;1.3269400381261853	-8.412583432405599;-7.4114217789711745	0.671829994894161;1.1645338244498389	#	#	-8.0817342915973;-6.6686491312027005	0.5801859879561726;1.3895057391318275	-8.730900121824;-7.3015124295159985	#	#	#	residential_area	0.1	1.0	1	1.75	35301	35301	0.4875	1.75	0	0
#	#	#	0.4123300612172551;1.3401043513701243	#	#	-4.7702677910763;-1.6113678361437	0.61455274490805;1.5069206364919498	-5.09978915696575;-2.5812172133142504	0.7341600814940001;1.564282562306	#	#	-4.625527419628249;-2.8797266523317497	#	#	#	#	1.44938573825272;2.1467831080472797	#	#	-6.0044669953006;-2.0870297381393996	1.35700777489173;2.05211585150827	-5.7388327552418;-3.2451178287782003	0.63591530140168;1.8546259144583201	-6.8538901399604;-3.6527397172196	1.0523119475665599;2.23626759359344	-7.480559801921901;-2.5354773182580996	#	#	#	-7.6646379369224995;-4.2965877179175	#	-6.6195013024552;-4.465630258544801	#	#	0.9292251843548798;2.20906701372512	#	1.4114588391652498;1.94413834143475	-7.8056020529920005;-3.2091053739279993	#	-7.8858243181988;-3.3603877185811997	#	#	0.9496346300045349;1.681964105055465	-7.930501791234899;-4.4422748667051	#	-8.311599731113201;-2.8423811117714637	1.0303576693298;1.8297268175502	#	#	-9.1731331121794;-4.4233360547406	#	#	#	-9.5397397270446;-5.1739311042954	#	-8.8750808737046;-4.6633292711553995	#	-8.7707800599908;-7.0033237613092005	#	-7.9550197801286;-6.184658102871399	1.3866773760391402;2.20327101614086	#	0.8110671585575824;1.9260899758824175	-8.264287044662;-6.598058593158	1.1273265664948382;2.010789509445162	-9.062822830886;-6.402781905694	1.3744524894868084;1.9166877233931914	#	1.2344004974522256;2.1983477579077744	#	#	#	1.0640167221554084;2.1709026756645917	-9.51438661368425;-6.81290027763575	1.001039783487312;2.152072318492688	#	1.0491339117171279;1.968258043702872	-9.5838525714799;-7.442526014100101	1.02547211419536;1.5532708701246398	train	1.0	1.0	1	3.0	48296	36130	0.525	3.0	5	5
#	-0.04284810961823193;1.021081550818232	#	0.33184796887798995;0.98666947248801	-6.954754583279751;-2.98881433876025	0.1759692659371801;1.35445817385882	-6.7210905541494;-4.3674003916506	#	-6.7794649641425;-4.9366074443975005	#	#	0.31850409946654756;1.3927995144780199	#	0.7562333017798502;1.61248442262015	#	0.614825583038255;1.494330803641745	-8.1531785802868;-3.6349390122332	0.9146273934275201;1.41830327161248	#	#	#	0.64409346662714;1.88401598167286	-8.973109638530966;-3.4348078931451997	#	-7.83402067574945;-3.899273281130551	#	-8.0208631885874;-4.091893544032599	0.6874713760341601;1.73857228154584	#	#	-6.9817902850014;-5.0956821623585995	#	-7.0135116640397;-5.1961829707403	0.7734663901358899;1.67184260372411	-8.389081495342001;-3.4934862427380002	#	#	0.5958305412112102;1.89556852674879	#	#	-8.6780146479772;-4.4039911927828	0.7187065435039199;1.76868365971608	#	0.885366083670305;1.894793197929695	-7.14281673051985;-5.140316088660151	0.989728969773785;2.1566701579462153	-8.3982350504388;-3.6079136376411998	1.324923892149085;1.9844034394309151	#	#	-6.8773558309750005;-5.250713003085	0.9613165929446;2.2003111244354	#	#	-8.7611439251394;-4.6559805933006	#	#	0.88952500059314;1.6826829312268599	-9.4580439396661;-5.6469662956339	0.6439280097417139;1.782618407158286	#	0.6437240615549816;1.8481996807050183	-8.737200959112;-6.579602645408	0.8179530699203874;2.0463680381596125	-9.0839850765575;-6.480503121082499	1.08674572952812;1.85497437557188	-9.052470397183;-7.247442626517	#	#	#	#	#	#	#	-9.6735558059525;-7.5954893936075	0.736423893592443;1.563728528127557	-9.3964681441832;-8.2529579903368	0.8293490742221759;1.280240157837824	-9.8299244575055;-8.640298592294501	#	home	1.0	1.0	1	3.5	45662	36302	0.5625	3.5	2	2
-5.572595434315675;-3.7349077509843247	#	#	0.08282578364938997;1.50802552680061	-7.08364582842915;-3.3617634451108493	#	-7.1248109969666995;-3.4703973236133	0.53100475399275;1.31838818774325	-7.4450819494565;-3.6365097419834997	#	#	#	-7.921828913335251;-3.5272269818647506	#	#	-0.5250719835615223;1.382704600597695	#	0.66688157476956;1.20930175127644	#	#	-7.0382109448026;-4.448718520577399	0.4404793760737199;1.71797530066628	#	#	-8.065655105227851;-3.59738264015215	#	#	#	-7.489706317982501;-4.0966746557375	#	-7.221051970881449;-5.26758284385855	#	#	#	#	#	-7.9354861344214;-4.3921427602186	0.59078996120745;1.54961306529255	#	#	#	#	#	#	#	0.4165213337360101;1.49637735861199	#	#	#	0.13462601445087985;1.5977826785171203	#	#	#	0.62108834078636;1.2405843158476402	-7.6944556643318;-3.7196149779482006	0.3645929949521901;1.57195838771981	#	0.31966459584489004;1.63463695452711	-7.9186563049688;-5.0465398196112	#	#	0.305056400300995;1.734095270479005	#	#	-8.147057676609;-5.855993555791001	0.806718594715778;1.306067214644222	#	#	-8.98977343704715;-5.85243302245285	0.6973248928322155;1.2832536197757844	-8.8162966910855;-5.9583372703145	#	#	#	#	0.3263638587743365;1.2795626768256636	#	#	-9.1437817420455;-7.9541558768345	#	home	1.0	1.0	1	4.0	46242	36882	0.3875	4.0	4	4
-6.3453298691609;-3.8950796247190995	0.22223376097826003;1.01299229238374	-7.245430253351531;-2.9159107441903203	0.186013064153425;1.880615220493313	-6.63541634424555;-4.37788112813445	#	-6.2001741536312105;-4.159357465521101	#	#	0.048290592559875;1.1724147853261249	#	0.2210167098892699;1.28114389731473	-8.42205414212275;-4.629452475237249	#	#	#	-8.8496995192901;-5.4610198432499	0.27306374782212;0.8736003718118799	#	#	#	#	#	#	#	0.1880325772662399;1.22399376753976	-8.4724879747056;-4.9499634657944	#	#	#	#	0.22716788415085987;1.3201188887271402	-8.1587087960128;-4.9279022301471995	0.616465804855435;1.298566263320565	-8.8695532114206;-3.904020883779401	#	-7.7720344964674;-4.9234643328926	#	#	0.36986754108435993;1.8682585105356402	#	#	#	0.8386141967545349;1.570943671805465	#	0.86227785501704;1.69829542266296	#	0.9758802993180649;1.715296761421935	-7.0436649934368;-4.850174297263201	0.8018579004838;1.9852934375962001	#	0.72488220669643;2.2323255533435704	-7.072917561565999;-4.957427851214	0.8043773175592399;2.07778571074076	#	0.7370033606774052;2.214985134582595	#	1.00192141822411;2.786599087212354	-7.5091104125432;-5.9625861511968	0.70556971725907;1.8804090161809301	-7.9735709502981;-5.9428619675619	0.9247606775467689;1.618865271633231	#	#	-7.79070610347875;-6.48896512574125	#	-8.6136432961605;-6.5711118714595	#	-8.4001905035228;-6.9861779222972	1.103446436957213;1.5948705305227868	-8.8169136807649;-6.7503891765151	1.131007214071558;1.661611338208442	#	#	#	#	#	0.4823625731754241;1.765667965004576	#	0.2496660421171052;1.3935298003715402	home	1.0	1.0	1	2.0	46431	37071	0.5125	2.0	2	2
