A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.662229108442092;1.107929371597908	#	0.7599580995721951;1.472557971147805	#	0.71456995778752;1.44490111199248	#	0.48430474821519987;1.823133761428659	#	0.866469474298375;1.7830630468616249	-7.50457315347325;-4.81813908946675	0.6317029718739801;1.67500274362602	-8.5742109688575;-4.3602091167624994	#	-7.784780534964;-5.2348194077959995	#	-7.8773432720942;-5.0866658918258	0.93796469742032;1.73222281301968	-7.78623433766795;-4.82918408611205	0.91786639002495;1.88511515697505	#	0.723131038672156;1.72160859485788	-8.0902527213626;-3.7590636385573997	0.6138059227535998;1.9063777850863999	-8.2679180294214;-3.7329549305386003	0.9442916478386951;1.554768777821305	-8.900845650215244;-4.4924939460259	1.11864709671881;1.9233962275011898	-8.06599989530945;-3.92650126737055	#	#	1.4082174473253;1.9791620019547	-7.7075169584662;-4.8805612133338	#	-8.7024146923904;-4.2264418900096	#	#	#	-8.780438279583;-4.251537139917	#	-7.645494998206001;-5.1313635539739995	1.08834321483251;2.59768531938749	-8.172641626136599;-4.6190467892833995	#	-7.3547870531605;-5.4168832061995005	1.599307461521715;2.174069539278285	-7.381047119818;-5.4124218816820004	1.53646788320429;2.37580548883571	#	#	#	1.42283067487003;2.10427766718997	#	#	-8.302250413027199;-5.4351522130128	1.4027361276523151;2.0896854028476852	-9.119443902632849;-5.836755153587149	#	#	#	#	1.4269479732927826;2.3456158184072176	-9.0095379620225;-7.661039015957501	#	#	#	-10.527237081631;-7.392188848368999	#	#	#	#	1.264502615297689;2.666813514802311	#	#	-10.168061974320398;-8.8380994704196	1.2783574300875826;2.4473748484524176	#	#	#	#	home	1.0	1.0	1	3.0	347013	328293	0.525	3.0	4	4
-5.174699826456275;-1.703511980163725	0.5605674154924121;1.150041957085588	#	0.759111634091305;1.9724573613686949	-6.7362253780193;-2.9533285294007	1.13501120924184;1.93173610473816	#	#	-6.5066576734255;-4.418085817714499	#	-7.79243662928875;-3.31504652261125	#	#	#	-7.9160181251952;-3.9635783780848	1.0531890658503;2.0879010900897	-7.268817808588301;-5.076142724091699	#	-7.071657433078849;-5.07736772854115	0.9669566194450249;2.151002523814975	-7.3962271857960005;-4.740337519923999	1.03117644281701;2.32745907218299	-8.343345415924802;-3.8809081790952	#	-8.5321480355314;-3.9971849366486003	#	#	1.49164356457932;1.9515002107406798	#	1.2063979197113701;2.18229781510863	-8.1938598221928;-4.4216435769072	1.5650562184795;1.9728737575005	#	#	-7.333566558426799;-4.6759577070132	1.493123627245935;2.353017356354065	#	1.3238893012589399;2.4744770261610602	-7.459926240521;-5.499655597979	#	#	1.1559101044206601;2.33713436015934	-8.094359487395401;-6.0370151081646	1.196921560800745;2.364690183179255	-8.9803342366497;-4.9753329529303	#	#	1.4351245436763298;2.11458831966367	#	1.2127158433238;2.3961513804362	-7.785988131325;-6.159345303435	#	-8.63534539900975;-5.52821988693025	#	#	1.091405057807405;2.569386831712595	-9.13059507368215;-6.21953146603785	1.4615571981409;2.0877345117990997	-8.9746703781608;-7.2072140794792	1.391930873639306;1.879941043960694	#	0.8724479206600676;1.9952641757999325	#	0.8520343224989849;2.023753215281015	#	#	-10.006614562933;-8.201586792267	#	-10.16410223698105;-8.529150189938951	#	-10.002093081687502;-8.9028779198525	#	#	0.48976241197477843;1.2214327880232214	-10.2524995464073;-8.839414386012699	0.2040590881002875;1.5529253400597125	#	0.20637885522754396;1.4029744232844559	#	#	home	1.0	1.0	1	2.5	347429	328709	0.575	2.5	4	4
#	#	#	#	#	0.1427723952915001;1.3876550445045	-7.1546650577676;-3.9338258880324	#	#	#	#	0.2737763721955899;1.46852288500841	#	0.8608862165492202;1.50783150785078	-7.0496478510944005;-4.563435752105599	#	-7.1897304370989;-4.598387155421101	0.5271844102083201;1.80574625483168	-8.25224717405485;-3.50721304946515	0.8049611217956498;1.57208945420435	#	#	-6.880071936285701;-4.4519810868343	0.7006538425987999;1.8085725817412	-8.2008191616885;-3.5324747951915003	#	#	#	-7.005276013996149;-5.17303891638385	#	#	0.6719323371597599;1.84644684954024	-8.124101421056;-4.085593213724	0.731874898766065;1.7134340950939349	-6.9204029195608;-4.9621648185192	0.5759257438487899;1.8157725160512102	-7.4360402718874;-4.5874701083125995	0.7662879819374501;1.72511108602255	-7.691847969964;-4.5824531576559995	0.47989106811343996;2.06642268282656	-7.609508784178601;-5.4724970565814	#	#	#	#	1.111648198388815;2.034750929331185	-6.82333485993;-5.18281382815	1.37488446391286;1.9344428676671401	-8.0027974242916;-4.2609603543484	0.77512656418404;2.25980023801596	#	1.10586595495186;2.05576176242814	-8.12219856682225;-4.35398252025775	#	-7.8163047455892;-5.6008197728508	0.868594371314975;1.8053433829450247	#	#	#	#	#	0.5110275950384522;1.9808961472215478	-8.467501169899;-6.849302434621	1.0730854094777649;1.791235698602235	-9.47450736987875;-6.0899808277612495	#	#	0.7398175381307629;1.8990790726892368	#	0.9541399814494134;1.4644650016905865	-9.7553065510151;-7.424970407924899	0.5435190421360054;1.7373783214439944	#	#	#	0.9252651688667625;1.3748872528532374	-9.861019144183299;-7.788406990336699	#	-9.8809084231574;-8.5893146266426	#	home	1.0	1.0	1	3.0	349862	331142	0.5375	3.0	5	5
#	#	#	#	-5.44939988870765;-2.33766215839235	0.5731180981166599;1.02127585183334	#	#	#	0.11161261287675;0.9763235303892499	#	#	#	#	#	#	-6.8530734005472;-2.0690550343727994	#	#	#	-5.6197120772918;-3.8269865528282	#	#	#	#	0.1397216784842399;1.17568286875776	-7.047877872329501;-2.6447222361905	#	#	#	#	#	-6.876663383913701;-2.3669958857262996	#	#	-0.2511515048797051;0.7687224528997052	-5.665242546594801;-3.4419682725852	#	#	#	#	#	-7.705902133503599;-3.2171507606364	#	#	-0.001386182647349965;0.52112479713135	-6.8347855398976;-3.8162268414223997	#	#	-0.34917651581100007;0.726673972473	#	#	#	#	-5.5317663873252405;-3.9091634962572	-0.47110780075447994;0.8611574602304799	-7.5814440036556;-4.6084428724443995	-0.51653746233793;0.9236703590759301	-7.3311435717625;-5.9503183384175005	#	-8.3836379728244;-6.509137373375601	#	-8.6800619374046;-6.4145837080154005	#	#	#	#	-0.13139875333725903;0.504325314001259	#	#	#	#	#	-0.5446834761516894;0.7566864880615546	#	#	#	#	-9.784959012274399;-8.8332583201056	#	library	0.1	1.0	1	2.0	332410	332410	0.3	2.0	0	0
#	#	#	#	#	#	-4.336041571069;-2.4778651269910004	1.4515703178442;2.2214563419558	#	1.530311289731125;2.066432058588875	-5.60009030249455;-1.8390826128854503	#	#	#	#	#	#	#	#	#	#	1.0009665101584238;2.38530805112472	#	1.11600140477304;2.0023363960869602	#	0.7042813694557556;3.239941013583601	-5.8643050644584;-3.9675610981216	1.25967715023123;2.36004841068877	-7.7257965740764;-2.8398309804436006	#	#	#	#	1.355501929337785;2.203968353282215	#	#	-8.217352376555;-3.006553296844999	1.9784836735382998;2.6176990762616996	#	#	-7.5916686287737;-4.2604444651663	1.6329297812111299;2.66103237416887	-7.717503742571967;-4.230981189566069	1.38819476617819;2.5361707000418097	-6.90051122823985;-4.898010586380151	#	#	1.698162871972555;2.4775477914874453	#	1.5071845266355202;3.0564092297644803	-7.5411600057418;-5.5241228991582005	#	#	#	#	#	-8.1783281814949;-5.5769521916851	#	-9.2295765614506;-5.1423338707494	#	#	#	#	#	#	#	-8.207229674798;-6.877209212202	1.2045056635842233;2.039816966909259	#	#	-7.731529058611301;-6.5499030890447	1.1838397611661309;2.055546536533869	#	1.0691834648193344;2.2511125338206655	-8.3312997657332;-6.0038653839068	#	-9.188923992851752;-7.169112511986701	#	#	#	forest_path	1.0	1.0	1	2.3333333333333335	348173	334133	0.375	2.3333333333333335	3	3
#	0.229118827347564;0.6173093791284361	-4.5310901979848;-1.9268679368352	-0.20978613106843003;0.98430014022043	#	0.03787539937262002;0.6852143769633801	-4.9083781409242;-2.8024448376358	#	#	0.14291758456287504;0.575273043319125	#	#	-5.55455433895875;-2.2435528837412497	0.18069255731023998;0.71347103249976	-4.960268460308001;-3.047797614932	-0.07961330486168;1.02407952099368	#	-0.09875561281987999;0.98608474019388	-6.68464920245615;-1.8020778568638502	0.026105755911874973;0.776557385442125	#	#	-5.408319181792501;-3.7677172564875003	-0.13244310799360004;0.8831490695536001	#	0.030303594825429936;0.80727448753057	-6.532945726195;-3.1459029291649996	0.17281483711162995;0.61624803162437	#	-0.13994608999936492;0.8527796656633648	#	-0.07045573333210009;0.8267428525141001	#	#	-5.8661278435036;-4.0477638925364	0.04609525049984492;0.8659939224401552	#	0.20127594504446994;0.7765698074955301	-7.176730014893;-3.3237842692069997	#	-6.2386249947899;-4.290173125510099	#	#	-0.0815662059269251;1.204958547540925	-6.0125800251218005;-4.2038697679582	#	-6.2744648785084;-3.7152520689315995	0.07389495835251492;1.013153707511485	-5.717023011705799;-3.8461044767342	0.21410066666843997;0.9456789987015601	-6.9881551664882;-2.4986209615118002	0.38537834699057;0.94292588616143	-6.42737540494125;-3.4524679997587504	0.31078762991448;1.13678226332952	#	#	#	0.25366190346444006;1.25554560531756	-7.983579170563699;-3.9515694891963	0.3857366494879;1.2894591871201	#	0.5615353722841401;1.3781290123858598	#	#	-6.986789831048751;-5.68504885331125	#	-7.772424076635;-5.397387536285001	0.4512129459911225;1.6665677806088774	#	#	-8.3026619162221;-5.5326397083979	0.482328521988131;1.354035297355869	#	#	-7.9986116351035;-6.751771787696501	0.391344712681853;1.578347014406147	-8.730900121824;-7.3015124295159985	0.6934084033427121;1.335061099257288	-10.208362562970201;-7.693153590809801	#	residential_area	1.0	1.0	2	1.3333333333333333	348861	334821	0.6125	2.6666666666666665	3	3
-4.2619359119667255;0.4343770565467253	0.96440416636594;1.61138841933406	#	#	-6.24408536403035;-2.0340872583096496	0.78320711983166;1.23136487354834	-6.3763216422867;-2.7219079689333006	0.53522396603135;1.1826281226706499	#	#	-6.7393411239067;-3.0380319690533	0.06864554966765996;0.9773259960323402	-6.4904096317810005;-3.3600082559390003	-0.004466463096479967;0.8327568550584801	#	-0.04951139451776504;0.761013024469765	-5.830208649813001;-3.8368676639070003	-0.23445781418524003;0.98598758295524	-6.92940092530095;-2.5969784637190503	-0.04070775227844997;0.65971376861645	-5.7030648219949995;-4.043133780825	#	-6.2911954919174;-4.0599768735026	-0.034952042812200046;0.6113338883542001	#	-0.41793971574429;0.95100899997429	#	#	-7.34903093937065;-4.83818750930935	-0.295050932423715;0.865933425893715	-8.71143873636345;-4.06352943413655	-0.029960048898640068;0.6551734166566401	-8.6047489424438;-4.7008576753562	#	-8.725419968177201;-5.088692066242801	-0.3388193449078502;0.7985991499671024	-9.6621815936322;-4.5903371560478	-0.23889962122724995;1.3591388855812498	-8.980407563866;-5.330248436373999	-0.3680786590646401;1.1303123103866402	#	-0.13932868072824;0.82315034246624	-8.3828951269734;-5.7021130570666	0.07507216545141998;0.94595046010658	-9.3665113455632;-4.7155421128568005	#	-9.3095073818464;-4.7816693341336	#	-8.086294924736;-6.1508619575240004	#	-9.0592569973854;-6.2614313334146	#	#	#	-9.212896004969599;-6.4761204504103995	#	-10.38580487030805;-6.11211574419195	0.029919516389140033;0.82307744702286	#	0.020304787217357956;1.1228462831286419	-10.0647969196602;-8.0861573980198	#	#	#	#	#	-10.99425217665;-8.14420832823	#	-11.242332509847149;-8.10499209525285	0.4087540636042255;1.3727013240597745	#	#	#	0.572021290575371;1.209887772258629	-10.896179142782499;-8.8181127304375	0.5310874494995494;1.2324979005184507	-11.236556075148751;-8.55645415207125	0.516193898792816;1.2272144537251841	-10.7441918081266;-9.3166407698734	#	beach	0.16806999999999994	0.7	1	6.399232	349467	335312	0.6375	6.399232	7	10
#	#	#	#	-7.1689977131591505;-3.44711532984085	#	-6.578770105565099;-4.9064113058949	0.34435993972645007;1.3767071084215499	#	#	#	0.46460087381397996;1.50790064556602	#	#	-7.1906901886348;-4.7682271178252	#	#	#	#	0.24775140515192495;1.3650904980080751	#	1.01937211324272;1.1455707260312946	#	#	-6.4695498172393995;-4.6022120706406	#	-8.024876397021;-3.2830164811789997	#	#	#	#	#	#	0.39973058929054;1.13174083739946	#	#	#	0.32565780530779004;1.15663782884821	-6.732004629224;-3.6226098169159995	-0.09845096932934005;1.17958838696734	#	-0.05524303676359987;1.2572283585016	#	#	#	#	-6.5910316501468005;-3.1131270627731995	-0.314521035162115;1.144327660340115	-7.6405944711246;-2.931040917575401	#	-7.5684757476371995;-2.7536129770828004	#	#	#	#	#	-6.8466353730697;-5.2362597603303	#	-7.9077266159164;-4.814678093223599	#	#	-0.06415737322594589;0.834095630885946	#	-0.31887455260633996;1.04183125836634	-8.1567794363395;-5.9698545937405	#	-8.694196351212;-6.224158349248	#	-9.4764434451723;-6.54208234113265	#	#	#	-9.1938654048125;-6.5932936588075	-0.16636611246899907;0.7136765601615457	-8.834422577602151;-6.88104014999785	#	#	#	-9.5701087130688;-7.6667073287312	#	home	0.1	1.0	1	2.0	335720	335720	0.3625	2.0	0	0
-6.559501782771401;-2.7480014025285997	#	#	#	#	0.4938081647722;1.1577455776857999	#	0.5834969829094501;1.26589595882655	-7.04579615351175;-4.03579553792825	0.605211018293;1.296979752303	-7.87329782808305;-3.51530479091695	0.8207937045421199;1.29196134339788	#	#	#	#	-6.8060046178081;-4.7462189323719	#	#	#	#	#	-7.9473427531626;-3.6161536703574	0.63806495009352;1.54286525372648	-7.198676865735551;-4.46436087964445	0.4797626346290499;1.7747141224709502	#	0.8339783584948399;1.42522261784516	#	#	-8.292518591833751;-3.2404432633262497	0.6399970403264799;1.55350832773352	#	0.47645538547641486;1.624380547283585	-8.167919971532001;-3.272324718928	#	-6.9417593589848;-4.7184850849752	0.7612474019336901;1.37915562456631	-8.255798914021;-3.591706695559	#	-7.2479042579654;-5.613718819214601	0.48241080646508006;1.61988601569492	-7.549272195518199;-5.1178652018818	#	#	#	-7.407592736136;-3.470342259864	0.5720306055215749;1.271478610214425	#	0.10235049980236;1.63005819316564	#	0.37890708697458997;1.3907526210254102	#	#	#	#	#	0.6327532526739901;1.32154829769801	-5.853858357592806;-4.4113602122725	#	-8.580725226563;-4.935862949857	#	-8.6120532029223;-4.7823161960977005	0.4053505886822575;1.7093603241977426	-8.48551033082075;-5.51754090157925	#	-8.0499182297345;-6.7673984979455	0.5131271222000439;1.5602020566399561	#	#	#	#	#	#	#	#	-9.12776699845565;-6.662073229224349	0.09772600529876796;1.276979608601232	-9.2627443285666;-7.8351932903134	#	home	0.1	1.0	1	2.7600000000000002	336210	336210	0.475	2.7600000000000002	0	0
-6.376211230179813;-2.13543884141815	0.4636739692963561;0.9123502974775881	#	#	-6.489164885965851;-4.10960073925415	#	#	0.5704492442569;1.2353508105350999	#	#	#	#	#	#	#	#	-8.2516972235183;-6.0590221390217	#	#	0.227998676790875;0.978450306321125	#	0.19273195688517009;1.56416140534483	#	0.58094675025792;1.11644080751008	#	#	-7.161555643782;-4.451921406158	#	#	#	#	#	#	#	#	#	#	0.42033252048121006;1.72007050601879	#	0.2052950774768999;1.7477563695591	-7.9671313618495;-4.5102006260305	0.7783973666881201;1.39088401781188	-8.2350536552618;-4.4320837421382	0.14089551492529495;1.5065910224527053	-7.228797834945949;-4.83871642369405	#	#	0.55493748760327;1.47421200805673	-6.753350048355;-5.140489242345001	#	#	0.11045827181824996;1.6592014361817502	#	0.6689500255003401;1.68423509573966	#	#	#	0.79768518027023;1.65346084226977	#	#	#	#	#	#	#	#	#	#	-9.1513846872989;-6.2349837385211	#	#	#	-8.8360000891775;-6.901162871165	1.1033924582040004;1.6099334877759994	#	#	#	#	-9.882705682614201;-7.9881451872691	#	home	1.0	1.0	1	3.5	345951	336591	0.3125	3.5	2	2
