A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	0	0	1	1	1	0.031752401269773765	0.5015974440894568	1	194.58900124303622	4992	0	0.6666666666666666	3335.038252460357	157	313
0	#	#	#	1	#	1	0.03137509992000007	0.5003996802557954	2	176.08362623178638	4986	1	0.3333333333333333	11625.70893928019	626	1251
#	0	#	#	#	#	0	0.03131257507005603	0.5002000800320128	2	187.25674777519515	4988	3	0.16666666666666666	12775.390895659637	1250	2499
#	#	#	0	#	#	0	0.09525281652090603	0.6248496993987976	7	176.8170592525061	4983	9	0.16666666666666666	50071.107734891564	1559	2495
1	#	#	1	#	#	1	0.03125	0.5	2	184.8581029154953	4991	10	0.3333333333333333	12579.993642645635	624	1248
#	#	#	1	#	#	1	0.0953291836938803	0.6249498596068993	3	186.46843938901443	4991	13	0.16666666666666666	9253.198598823403	1558	2493
#	0	0	#	#	#	0	0.23762355964894505	0.750201450443191	18	192.33833634988497	4988	31	0.3333333333333333	144953.45293237906	931	1241
1	#	0	1	#	#	0	0.03150324016602539	0.5008077544426495	2	194.62986895235795	4935	39	0.5	13481.363964511203	310	619
#	1	#	#	0	#	0	0.030874102212326157	0.49879129734085415	2	180.768702756609	4979	41	0.3333333333333333	13005.910722588815	619	1241
0	#	#	1	1	#	1	0.2379463980161281	0.7504051863857374	6	188.21007607673175	4986	65	0.5	15233.073557604519	463	617
#	0	#	#	#	#	1	0.03125	0.5	3	187.25674777519515	4992	65	0.16666666666666666	28918.728304533066	1234	2468
1	#	1	0	#	1	1	0.2373046875	0.75	1	177.7875180836991	4949	70	0.6666666666666666	181.48439760462387	231	308
1	#	0	#	#	0	0	0.23666228211779275	0.7495934959349594	4	198.18415186486908	4979	76	0.5	796.9009491554318	461	615
1	1	#	#	0	#	0	0.030996759844756163	0.4991869918699187	1	189.34155298663714	4979	103	0.5	3411.9545835593635	307	615
#	0	#	#	#	0	1	0.03099552252818393	0.4991830065359477	1	184.259667724705	4970	106	0.3333333333333333	3144.5837483923065	611	1224
#	#	#	1	#	1	1	0.23860427194515973	0.7508196721311475	12	191.27604106638242	4991	112	0.3333333333333333	64412.20838424527	916	1220
#	#	#	0	1	1	1	0.095367431640625	0.625	3	187.81211176309793	4992	128	0.5	9645.508399362605	380	608
#	0	0	#	1	#	1	0.03125	0.5	1	188.34668064166985	4992	128	0.5	3343.2067485784214	305	610
#	#	0	#	1	#	1	0.031378600649174006	0.5004108463434676	1	182.39100237019755	4992	132	0.3333333333333333	3152.520787279824	609	1217
1	1	0	#	1	#	0	0.03125	0.5	1	202.35195656150086	4950	140	0.6666666666666666	3523.8425166864536	151	302
