A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	1	0	1	1	0.09506313248989223	0.6246006389776357	2	153.37939158564902	9920	0	0.5	3551.18122431047	782	1252
0	1	#	1	#	#	1	1.0	1.0	23	158.37542734801676	9976	1	0.5	45369.15428038971	1250	1250
#	0	#	0	0	#	0	0.23793817536009593	0.7504	3	159.24796019570545	9977	3	0.5	477.74388058711634	938	1250
#	#	#	#	0	0	0	0.23762151614310076	0.7502001601281025	5	160.42061533008157	9977	5	0.3333333333333333	9139.693583774791	1874	2498
#	#	1	0	1	#	1	0.0954436889785144	0.6250999200639489	2	156.47796980612833	9998	8	0.5	3551.2658839760566	782	1251
#	1	0	#	1	#	0	0.031375501846421426	0.5004009623095429	1	153.45124786671613	9780	31	0.5	2648.481571351978	624	1247
1	#	#	#	0	0	0	1.0	1.0	22	163.35632376295104	9977	32	0.5	42815.254008248405	1246	1246
1	#	#	1	#	1	1	0.2363531863705932	0.7493975903614458	4	161.01723412377558	9939	42	0.5	664.0861706188779	933	1245
0	#	0	#	#	0	0	0.23762253461152522	0.7502008032128514	6	161.47927205417582	9963	43	0.5	13247.955835855362	934	1245
0	#	#	1	#	1	1	0.2363531863705932	0.7493975903614458	5	156.86235442368252	9976	48	0.5	8984.925662451016	933	1245
#	#	#	#	0	#	0	0.09552085411795934	0.6252009646302251	3	152.8661976573449	9999	49	0.16666666666666666	7955.764669468981	3111	4976
#	1	#	1	1	#	1	0.23826078895023495	0.7506033789219629	4	162.21928930590244	9976	50	0.5	648.8771572236097	933	1243
#	#	#	0	0	#	0	0.23778216156583545	0.7503015681544029	5	156.48865645336613	9977	57	0.3333333333333333	8909.653444863936	1866	2487
0	0	0	#	#	#	0	1.0	1.0	25	151.46473894980392	9995	75	0.5	51263.56088049607	1242	1242
#	#	#	1	#	1	1	0.23714518711088806	0.7498991528842275	4	153.887548116153	9976	83	0.3333333333333333	628.437740580765	1859	2479
0	#	#	1	#	#	1	0.23666642889327236	0.7495961227786753	9	151.16336028411453	9976	91	0.3333333333333333	28016.38588973201	1856	2476
#	0	1	0	#	#	1	0.23794432240501076	0.7504038772213247	4	154.14781375790426	9998	93	0.5	616.591255031617	929	1238
#	1	1	1	#	#	1	0.23794432240501076	0.7504038772213247	4	167.15896692039965	9976	94	0.5	668.6358676815986	929	1238
0	#	0	#	#	#	0	0.2374646609925681	0.7501010917913465	9	152.7166791728073	9995	107	0.3333333333333333	28209.131451888763	1855	2473
#	1	1	#	#	1	1	0.23634704271506057	0.7493936944219887	4	165.26598049553388	9976	111	0.5	661.0639219821355	927	1237
#	1	#	1	#	#	1	0.2373046875	0.75	10	159.45884116812726	9976	138	0.3333333333333333	36388.10997497905	1848	2464
0	#	1	1	#	#	1	1.0	1.0	18	170.1530116869631	9976	144	0.5	3062.754210365336	1231	1231
#	1	#	#	1	1	1	0.23601918300981134	0.749185667752443	3	167.89315043982248	9976	161	0.5	503.67945131946743	920	1228
#	#	1	#	0	1	1	0.09528985930729919	0.6248982912937348	2	150.4270011401356	9967	175	0.5	3458.916726867118	768	1229
0	#	#	1	#	0	1	0.23795058991439386	0.7504078303425775	4	144.05171090362404	9970	178	0.5	576.2068436144962	920	1226
0	#	#	0	1	#	0	0.2369825253326268	0.7497962510187449	4	160.0345039492738	9995	188	0.5	640.1380157970952	920	1227
#	0	1	#	1	#	1	1.0	1.0	21	164.818957177257	9998	200	0.5	39360.7135919072	1225	1225
#	0	0	0	#	#	0	0.2373046875	0.75	4	166.5449199541559	9995	203	0.5	666.1796798166235	918	1224
1	#	1	#	0	1	0	0.03125	0.5	1	140.34038275919357	9999	207	0.6666666666666666	2449.041325397838	306	612
#	1	#	1	#	1	1	1.0	1.0	29	171.3580066403278	9976	211	0.5	78040.06262234565	1223	1223
1	#	0	0	0	#	0	0.23665808110665365	0.7495908346972177	1	158.3748140068895	9977	249	0.6666666666666666	158.3748140068895	458	611
#	#	#	0	0	0	0	0.51411125319887	0.8754098360655738	5	170.9054170158943	9977	250	0.5	854.5270850794715	1068	1220
#	1	#	0	0	#	0	0.2373046875	0.75	1	156.41903952708242	9975	250	0.5	156.41903952708242	915	1220
#	0	#	#	1	1	1	0.23568685410684403	0.748974569319114	5	163.9623296748757	9988	260	0.5	9418.157338300833	913	1219
#	#	#	#	1	1	1	0.23584644926719506	0.7490759753593429	4	159.78568594921097	9988	264	0.3333333333333333	639.1427437968439	1824	2435
#	0	1	#	#	#	1	0.23697987959976802	0.7497945768282662	8	153.8201412449246	9998	264	0.3333333333333333	22917.25921250552	1825	2434
#	0	#	1	1	0	1	0.23600224999146535	0.7491749174917491	4	137.05773170714824	9943	295	0.6666666666666666	548.2309268285929	454	606
0	#	#	#	#	#	0	0.03137918543763767	0.5004127115146513	3	152.0974079982649	9995	308	0.16666666666666666	23623.26211070913	2425	4846
0	1	#	0	#	#	0	1.0	1.0	29	157.86534311839824	9975	329	0.5	71895.21811324867	1208	1208
#	#	1	#	#	#	1	0.09505101708350555	0.6245847176079734	4	152.76056457722476	9998	367	0.16666666666666666	14178.166538530244	3008	4816
#	1	#	0	1	#	0	0.2376341857656549	0.7502081598667777	3	155.6922984108797	9961	380	0.5	467.07689523263906	901	1201
#	#	0	#	#	#	0	0.09548665085021558	0.6251561849229488	2	152.6170136507742	9995	395	0.16666666666666666	3462.0831441395753	3002	4802
#	#	#	1	#	#	1	0.09530782948113603	0.6249218587205668	4	149.39912274223656	9976	400	0.16666666666666666	13758.325289541464	2999	4799
1	#	#	#	0	#	0	0.23681009682691162	0.7496871088861077	7	153.3604652234018	9999	416	0.3333333333333333	17542.556366653185	1797	2397
#	0	0	#	#	#	0	0.23796680954216193	0.7504180602006689	7	152.35899112058556	9995	427	0.3333333333333333	16988.889523131347	1795	2392
#	1	1	1	1	#	1	0.23796791986281648	0.7504187604690117	2	181.08800064964757	9976	435	0.6666666666666666	362.17600129929514	448	597
#	1	#	0	#	#	0	0.2374705652283848	0.750104821802935	8	153.90264867605492	9975	450	0.3333333333333333	22461.227884902568	1789	2385
#	0	#	0	1	1	1	0.23598486492701679	0.7491638795986622	3	173.13623894157826	9988	452	0.6666666666666666	519.4087168247347	448	598
#	0	#	#	1	#	1	0.23647738148842365	0.7494763301214914	8	151.7362018282678	9998	456	0.3333333333333333	22238.054332203104	1789	2387
#	0	0	#	#	1	0	0.23796791986281648	0.7504187604690117	4	151.6292421503987	9995	459	0.5	606.5169686015948	896	1194
#	#	#	1	1	#	1	0.23713876337874734	0.7498950902224087	3	151.60559725370499	9976	467	0.3333333333333333	454.8167917611149	1787	2383
#	0	#	#	#	#	1	0.03125	0.5	1	149.41994048110942	9998	484	0.16666666666666666	2622.977989898076	2378	4756
1	0	#	#	#	#	1	0.03125	0.5	2	152.26666970374094	9998	487	0.3333333333333333	10727.017188515285	1189	2378
0	#	1	#	#	#	1	0.2361422455014783	0.7492637778712663	8	158.46244428281	9976	496	0.3333333333333333	23256.794096252503	1781	2377
#	0	0	#	0	#	0	1.0	1.0	22	163.53440081191093	9977	497	0.5	42861.927524820196	1187	1187
0	#	#	0	#	#	0	0.23797127328066167	0.7504208754208754	13	160.3573775883189	9995	500	0.3333333333333333	61669.20184442774	1783	2376
1	#	0	#	1	#	1	0.2373046875	0.75	5	149.9561481910379	9988	516	0.5	8554.904782680711	888	1184
#	1	#	#	#	1	1	0.23697054972214196	0.7497886728655959	4	157.33592023736108	9976	531	0.3333333333333333	629.3436809494443	1774	2366
1	#	0	1	1	#	1	0.23663622401648474	0.7495769881556683	1	142.57934464339118	9939	531	0.6666666666666666	142.57934464339118	443	591
1	0	#	#	1	#	1	1.0	1.0	26	151.5548890384483	9998	551	0.5	55479.66867371331	1181	1181
#	0	1	1	#	#	1	0.2362983077487722	0.7493627867459643	2	160.18678043641972	9943	560	0.5	329.96695109104934	882	1177
#	#	#	0	#	#	0	0.0957518630172147	0.6255030713831815	4	155.8687828767549	9995	564	0.16666666666666666	14104.221056836597	2953	4721
#	#	0	0	#	#	0	0.2371370757765746	0.7498940228910556	6	163.92452838316154	9995	569	0.3333333333333333	13476.099081873268	1769	2359
#	0	#	#	0	#	0	0.2379769383083967	0.7504244482173175	10	152.8462315914489	9999	569	0.3333333333333333	35479.556938575035	1768	2356
#	0	#	0	1	#	1	0.23663395676053672	0.7495755517826825	4	159.13000950351775	9998	584	0.5	636.520038014071	883	1178
#	#	#	0	1	#	0	0.03118365182862273	0.4997875053123672	1	157.01456510972434	9995	587	0.3333333333333333	2726.6549311611916	1176	2353
1	0	#	#	0	#	0	1.0	1.0	26	153.2553757723525	9999	591	0.5	57223.7462754889	1176	1176
1	1	1	1	#	#	1	0.03125	0.5	1	168.56873649764933	9884	606	0.6666666666666666	2921.0851831963278	293	586
#	#	1	1	#	#	1	0.23646042804795184	0.7494655835827276	5	160.7916688500896	9976	641	0.3333333333333333	9468.83228183629	1753	2339
#	1	#	#	#	0	0	0.2376437910278106	0.7502142245072836	10	158.9431967103051	9961	670	0.3333333333333333	36218.68543725391	1751	2334
#	1	#	0	#	0	0	1.0	1.0	19	168.77390699523824	9961	706	0.5	32993.60099124463	1160	1160
0	1	#	#	#	#	0	0.0313176113983343	0.5002161694768699	3	156.73513405732805	9975	756	0.3333333333333333	24391.4405387788	1157	2313
0	#	0	0	#	#	0	1.0	1.0	25	173.7163405670361	9995	756	0.5	58794.66245636554	1155	1155
1	1	#	#	#	1	1	1.0	1.0	25	155.2815231396318	9967	767	0.5	52555.35955284448	1153	1153
#	1	#	#	0	1	1	0.23799573154992837	0.7504363001745201	4	151.6864647589753	9967	831	0.5	606.7458590359012	860	1146
#	#	#	0	#	0	0	0.2379981548454611	0.7504378283712785	4	160.24473405550475	9977	873	0.3333333333333333	640.978936222019	1714	2284
#	0	1	0	#	0	1	0.2359201831861144	0.7491228070175439	4	148.3025752331077	9998	878	0.6666666666666666	593.2103009324308	427	570
#	#	#	#	#	1	1	0.09530391263952273	0.6249167221852099	4	150.42192950296078	9988	993	0.16666666666666666	13874.052418812385	2814	4503
#	1	#	#	0	0	0	0.2373046875	0.75	1	159.31761816307937	9925	1021	0.5	159.31761816307937	843	1124
#	0	#	#	0	1	0	0.2373046875	0.75	5	146.78118358314956	9999	1167	0.5	8469.017472410478	828	1104
1	1	#	#	#	0	0	1.0	1.0	31	157.86154909690617	9961	1182	0.5	82151.77659498481	1103	1103
#	#	#	0	1	0	0	0.09597530803707179	0.6257947320617621	1	152.5493856056555	9961	1193	0.5	152.5493856056555	689	1101
0	0	1	#	#	#	1	1.0	1.0	32	161.92853427997665	9966	1198	0.5	95492.32698816493	1098	1098
1	#	#	#	1	#	1	0.23748509245403085	0.7501139990880072	9	152.32807196940618	9998	1220	0.3333333333333333	28134.928964510986	1645	2193
0	#	#	0	#	1	0	0.2373046875	0.75	4	155.50788754043143	9995	1227	0.5	622.0315501617257	822	1096
1	#	#	0	1	#	1	0.2376680943040008	0.7502295684113865	5	155.9154565671965	9998	1284	0.5	8881.278880142398	817	1089
1	#	#	#	#	0	0	0.23694105795220696	0.749770009199632	7	155.332179104748	9977	1310	0.3333333333333333	17395.399356483173	1630	2174
#	#	#	#	1	#	1	0.09499454320253596	0.6245104814558857	4	152.23337171458655	9998	1316	0.16666666666666666	13885.080509671689	2711	4341
1	#	#	0	1	1	1	1.0	1.0	10	177.48229491458508	9988	1348	0.6666666666666666	1774.8229491458508	540	540
1	#	1	#	1	#	1	0.23657181379353992	0.7495361781076066	3	162.5037671295633	9998	1370	0.5	487.5113013886899	808	1078
#	#	0	#	#	0	0	0.23786095703423651	0.7503512880562061	4	166.65879423841403	9977	1451	0.3333333333333333	666.6351769536561	1602	2135
1	#	#	#	1	1	1	1.0	1.0	30	179.06503556642036	9988	1505	0.5	87271.11299305182	1059	1059
#	0	#	1	0	#	0	0.2376791031520629	0.750236518448439	4	150.50681179673924	9999	1548	0.5	611.5340589836962	793	1057
#	#	#	0	1	1	1	0.09509655291500087	0.6246445497630332	2	164.95466186932987	9988	1553	0.5	3757.3099477498595	659	1055
#	1	#	#	0	#	1	0.03132444017587193	0.5002379819133745	1	158.28640866729208	9967	1599	0.3333333333333333	2736.387005519755	1051	2101
1	#	#	#	#	1	1	0.2369264524996291	0.7497607655502392	9	154.20943452227007	9988	1633	0.3333333333333333	29091.25947779191	1567	2090
1	#	#	1	0	#	0	0.2373046875	0.75	6	151.6392234476969	9999	1679	0.5	12696.188333453283	780	1040
1	#	0	1	0	#	0	0.23501853223020688	0.7485493230174082	1	151.57201354982385	9952	1713	0.6666666666666666	151.57201354982385	387	517
0	0	#	#	#	#	0	0.031328557024186875	0.5002511300853842	2	152.70416755951047	9995	2027	0.3333333333333333	10558.146922008262	996	1991
#	1	0	#	#	1	1	0.2373046875	0.75	4	149.5943746090002	9939	2054	0.5	598.3774984360008	744	992
#	0	0	1	#	#	0	0.2385191408856289	0.7507660878447395	4	141.10728075632773	9963	2155	0.5	564.4291230253109	735	979
#	#	0	#	0	#	0	0.237102863487615	0.7498723838693211	4	156.9176515166678	9977	2161	0.3333333333333333	627.6706060666712	1469	1959
1	0	#	1	#	#	0	0.03141158186832451	0.500515995872033	1	147.9474793899367	9999	2225	0.5	2593.8423921206286	485	969
#	1	#	1	0	#	1	0.2368976469655275	0.7497425334706488	1	155.20881124401993	9920	2240	0.5	155.20881124401993	728	971
1	#	1	0	1	#	1	0.2373046875	0.75	1	163.3302745966643	9998	2318	0.6666666666666666	163.3302745966643	360	480
